
running 311 tests
test s_expression::function::lisp_function::test::args_is_none_when_passed_sxref_with_nil_args ... ok
test s_expression::function::lisp_function::test::args_is_none_when_passed_sxref_with_non_list_args ... ok
test s_expression::function::lisp_function::test::args_returns_list_of_args ... ok
test s_expression::function::lisp_function::test::definition_returns_lambda_definition ... ok
test s_expression::function::lisp_function::test::execute_works ... ok
test s_expression::function::lisp_function::test::from_string_works ... ok
test s_expression::function::lisp_function::test::gets_correct_args_and_def_when_function_made_from_sxref ... ok
test s_expression::function::lisp_function::test::bad_lisp_fails_to_become_function - should panic ... ok
test s_expression::function::rust_function::test::execute_works ... ok
test s_expression::function::lisp_function::test::str_that_are_missing_args_work ... ok
test s_expression::r#macro::lisp_macro::test::args_is_none_when_passed_sxref_with_nil_args ... ok
test s_expression::r#macro::lisp_macro::test::args_is_none_when_passed_sxref_with_non_list_args ... ok
test s_expression::r#macro::lisp_macro::test::from_string_works ... ok
test s_expression::r#macro::lisp_macro::test::gets_correct_args_and_def_when_function_made_from_sxref ... ok
test s_expression::r#macro::lisp_macro::test::str_that_are_missing_args_work ... ok
test s_expression::s_expression_ref::test::from_iter_returns_args_in_correct_order ... ok
test s_expression::s_expression_ref::test::iter_on_non_list ... ok
test s_expression::s_expression_ref::test::iter_works ... ok
test s_expression::s_expression_ref::test::len_works_on_list ... ok
test s_expression::s_expression_ref::test::len_works_on_non_list ... ok
test s_expression::s_expression_ref::test::sxref_from_empty_list_is_nil ... ok
test s_expression::util::test::car_works_on_list_of_2 ... ok
test s_expression::util::test::car_works_on_list_of_3 ... ok
test s_expression::util::test::car_works_on_list_starting_with_list ... ok
test s_expression::util::test::car_works_on_list_starting_with_nil ... ok
test s_expression::util::test::car_works_on_nil ... ok
test s_expression::util::test::car_works_on_string ... ok
test s_expression::util::test::car_works_on_number ... ok
test s_expression::util::test::car_works_on_symbol ... ok
test s_expression::util::test::cdr_works_on_atom ... ok
test s_expression::util::test::cdr_works_on_list_of_1 ... ok
test s_expression::util::test::cdr_works_on_list_of_2 ... ok
test s_expression::util::test::cdr_works_on_list_of_3 ... ok
test s_expression::util::test::cdr_works_on_nil ... ok
test s_expression::util::test::cons_appends_list_to_list ... ok
test s_expression::r#macro::lisp_macro::test::bad_lisp_fails_to_become_macro - should panic ... ok
test s_expression::util::test::cons_can_append_nil_to_list ... ok
test s_expression::util::test::cons_number_appended_to_cons_cell ... ok
test s_expression::util::test::cons_number_appended_to_nil ... ok
test s_expression::util::test::cons_can_append_nil_to_nil ... ok
test s_expression::util::test::cons_works_on_numbers ... ok
test s_expression::util::test::push_appends_item_to_list ... ok
test s_expression::util::test::push_appends_item_to_nil ... ok
test s_expression::util::test::push_appends_list_to_list ... ok
test s_expression::util::test::push_appends_item_to_atom_as_new_list ... ok
test test::comments ... ok
test test::list_fns ... ok
test test::dot_notation ... ok
test test::pipe ... ok
test test::multi_root_list ... ok
